month,is_this_blocked_pageviews,should_it_be_blocked_pageviews
January 2020,1124,0
February 2020,1308,0
March 2020,2349,346
April 2020,855,100
May 2020,406,433
June 2020,505,47
July 2020,366,38
August 2020,291,28
September 2020,653,355
October 2020,1316,127
November 2020,1340,272
December 2020,989,302
January 2021,"2,208",233
February 2021,480,67
March 2021,"1,278",823
April 2021,560,155
May 2021,365,208
June 2021,301,36
July 2021,988,68
August 2021,211,14
September 2021,337,27
October 2021,698,44
November 2021,"1,276",44
December 2021,"2,077",60
